patient_key,heatmap_mse,heatmap_mae,heatmap_soft_dice,heatmap_corr,target_mask_pixels,pred_mask_fixed_pixels,dice_fixed_thresh,iou_fixed_thresh,dice_topk_same_area,iou_topk_same_area
S_198,0.09990902990102768,0.31249621510505676,0.03776241093873978,-0.37737562979271366,2714,0,3.6845983787631376e-12,3.6845983787631376e-12,0.023949889463846814,0.012120082045474323
S_199,0.09002012014389038,0.2939872145652771,0.0575101338326931,-0.2095536926872391,4195,0,2.383790226454389e-12,2.383790226454389e-12,0.046797447413085794,0.02395934172431757
S_200,0.10084553807973862,0.3133457899093628,0.04156650975346565,-0.37628494400098167,2946,0,3.3944331296558235e-12,3.3944331296558235e-12,0.0496035093655313,0.025432525953243197
S_201,0.09525062888860703,0.30427610874176025,0.04654168337583542,-0.2029029368389617,3263,0,3.0646644192367004e-12,3.0646644192367004e-12,0.07023360964721895,0.036394876602567336
S_202,0.09419304132461548,0.30152618885040283,0.046117719262838364,-0.30506943808300274,3472,0,2.88018433178894e-12,2.88018433178894e-12,0.038280245680562375,0.0195136158453189
S_203,0.09924064576625824,0.31142938137054443,0.034146543592214584,-0.281475964565427,2322,0,4.306632213590411e-12,4.306632213590411e-12,0.11433447099165031,0.06063348416502119
S_204,0.08709333837032318,0.2901676595211029,0.04742839187383652,-0.17096766421340504,3299,0,3.031221582288478e-12,3.031221582288478e-12,0.06280048077063882,0.03241817899948438
S_205,0.09843643754720688,0.3101520538330078,0.03746304661035538,-0.2164450065472552,2483,0,4.027386226322886e-12,4.027386226322886e-12,0.05738194859721582,0.02953846154045223
S_206,0.09330625087022781,0.30034446716308594,0.04991577938199043,-0.20683819895454233,3638,0,2.7487630566169633e-12,2.7487630566169633e-12,0.12276847020169902,0.06539868324935567
S_21,0.09833508729934692,0.3098496198654175,0.04077019542455673,-0.18729941173614387,2723,0,3.672420124848798e-12,3.672420124848798e-12,0.12655449890430404,0.0675517376043195
S_22,0.09906614571809769,0.30968594551086426,0.04674658924341202,-0.38944229695359417,3614,0,2.7670171554987078e-12,2.7670171554987078e-12,0.05416609092295956,0.0278369549793668
S_23,0.09683757275342941,0.3074023723602295,0.035772621631622314,-0.24446190749020344,2735,0,3.656307129785535e-12,3.656307129785535e-12,0.07530774801036332,0.039127163282469665
S_24,0.08889131247997284,0.2942245900630951,0.03883344307541847,-0.17894117608681204,2972,0,3.364737550459742e-12,3.364737550459742e-12,0.05721845543400493,0.029451821588305328
S_25,0.09884291887283325,0.31040555238723755,0.04012135788798332,-0.2835474099592352,2754,0,3.6310820624414268e-12,3.6310820624414268e-12,0.13056057866341672,0.06983942735718739
S_26,0.09054487943649292,0.29625996947288513,0.04050854220986366,-0.15071138400400383,2941,0,3.4002040122291734e-12,3.4002040122291734e-12,0.09017223910994568,0.04721485411309069
S_27,0.09558361768722534,0.3059720993041992,0.03031386248767376,-0.1367946908835693,2133,0,4.688232536311823e-12,4.688232536311823e-12,0.1923706997444597,0.10642154324415738
S_28,0.09089227765798569,0.29709985852241516,0.035996098071336746,-0.33577675105427784,3048,0,3.2808398950023596e-12,3.2808398950023596e-12,0.028650496501662626,0.014533443436805064
S_29,0.09735400229692459,0.30904293060302734,0.030554497614502907,-0.03313069289123551,1854,0,5.393743257791836e-12,5.393743257791836e-12,0.1261020571757251,0.06729398346430769
S_30,0.08801267296075821,0.2919206917285919,0.05042572319507599,-0.15378105259083694,4100,0,2.4390243902379536e-12,2.4390243902379536e-12,0.11019015114686714,0.058307533540946456
S_31,0.09204469621181488,0.29983460903167725,0.03353571146726608,-0.13547243202270326,2417,0,4.1373603640705945e-12,4.1373603640705945e-12,0.025420254204539933,0.012873754154873601
S_32,0.09614600241184235,0.3053232431411743,0.0463794469833374,-0.2515445129374339,3225,0,3.100775193788835e-12,3.100775193788835e-12,0.09022556391117044,0.04724409448972
